Date;ON;1W;1M;2M;3M;6M;12M
2019-12-31;1.54263;1.63;1.7625;1.83313;1.90838;1.9121299999999999;1.99625
2019-12-30;1.5343799999999999;1.6035;1.78088;1.8388799999999998;1.9093799999999999;1.90875;2.001
2019-12-27;1.53625;1.624;1.79938;1.84913;1.9446299999999999;1.92075;2.00425
2019-12-24;1.5331299999999999;1.60863;1.80475;1.853;1.9605;1.92125;2.012
2019-12-23;1.5345;1.6025;1.792;1.84388;1.9466299999999999;1.92438;2.0015
2019-12-20;1.53663;1.57613;1.77988;1.85025;1.93475;1.9205;1.99963
2019-12-19;1.534;1.57525;1.7851299999999999;1.84475;1.92775;1.91625;1.998
2019-12-18;1.5335;1.58213;1.76463;1.84188;1.908;1.90488;1.96963
2019-12-17;1.5356299999999998;1.57613;1.76388;1.8405;1.9025;1.9046299999999998;1.96838
2019-12-16;1.53063;1.56525;1.74488;1.8361299999999998;1.8985;1.8933799999999998;1.95963
2019-12-13;1.52988;1.563;1.73738;1.8368799999999998;1.89963;1.90288;1.9638799999999998
2019-12-12;1.53375;1.5703799999999999;1.73975;1.83188;1.89363;1.88638;1.93288
2019-12-11;1.52538;1.57638;1.7405;1.824;1.8873799999999998;1.88825;1.94325
2019-12-10;1.529;1.58013;1.73563;1.82613;1.88725;1.87863;1.93288
2019-12-09;1.53663;1.5828799999999998;1.71763;1.8205;1.88838;1.8801299999999999;1.93525
2019-12-06;1.5291299999999999;1.5828799999999998;1.7151299999999998;1.82175;1.8905;1.88675;1.92313
2019-12-05;1.52938;1.57475;1.71013;1.8223799999999999;1.885;1.8881299999999999;1.9226299999999998
2019-12-04;1.5295;1.58838;1.7131299999999998;1.825;1.88713;1.8875;1.917
2019-12-03;1.5385;1.57725;1.70363;1.8356299999999999;1.8915;1.8953799999999998;1.9366299999999999
2019-12-02;1.54063;1.5723799999999999;1.69375;1.83388;1.9001299999999999;1.9061299999999999;1.9625
2019-11-29;1.5425;1.5865;1.69713;1.83988;1.9055;1.89688;1.95213
2019-11-28;;1.58625;1.7085;1.83575;1.90688;1.89513;1.95025
2019-11-27;1.5396299999999998;1.5888799999999998;1.69113;1.83463;1.91375;1.90688;1.93975
2019-11-26;1.538;1.5981299999999998;1.70163;1.8436299999999999;1.9086299999999998;1.91425;1.94163
2019-11-25;1.53613;1.597;1.6995;1.842;1.9186299999999998;1.91913;1.94175
2019-11-22;1.53388;1.58975;1.70275;1.83675;1.91725;1.90725;1.91488
2019-11-21;1.54138;1.584;1.708;1.841;1.9095;1.8935;1.9086299999999998
2019-11-20;1.529;1.58475;1.71563;1.8335;1.89875;1.89113;1.90925
2019-11-19;1.53688;1.58775;1.72163;1.83675;1.89463;1.907;1.94163
2019-11-18;1.53538;1.591;1.72363;1.836;1.8985;1.91888;1.95338
2019-11-15;1.53675;1.57913;1.73325;1.8325;1.9026299999999998;1.9185;1.961
2019-11-14;1.527;1.5808799999999998;1.7625;1.84075;1.9041299999999999;1.92163;1.9711299999999998
2019-11-13;1.539;1.59863;1.76538;1.84575;1.90988;1.92225;1.987
2019-11-12;1.53925;1.59713;1.76163;1.84188;1.90925;1.92613;2.00563
2019-11-11;;1.60638;1.76325;1.8385;1.9046299999999998;1.923;1.99413
2019-11-08;1.53863;1.61225;1.759;1.85;1.9006299999999998;1.923;1.99975
2019-11-07;1.5436299999999998;1.61375;1.758;1.84675;1.9013799999999998;1.9226299999999998;1.983
2019-11-06;1.5365;1.61338;1.755;1.84525;1.90425;1.92388;1.9766299999999999
2019-11-05;1.54713;1.6168799999999999;1.76988;1.85463;1.8935;1.92625;1.96688
2019-11-04;1.55088;1.6261299999999999;1.771;1.85338;1.90825;1.9246299999999998;1.96
2019-11-01;1.5921299999999998;1.63163;1.77425;1.8388799999999998;1.8905;1.90238;1.92525
2019-10-31;1.59988;1.659;1.78488;1.84;1.90225;1.91625;1.95538
2019-10-30;1.8043799999999999;1.68;1.78138;1.859;1.90913;1.9195;1.9798799999999999
